player_id,name,team,season,season_end,salary,career_PTS,career_AST,career_TRB,career_WS,career_PER,log_salary,log_pred_salary,pred_salary,ValueScore
douglto01,Toney Douglas,Indiana Pacers,2015-16,2016,600000,7.6,2.3,2.2,12.1,13.2,13.304684934198283,13.606490364978438,811378.8513163351,211378.85131633515
jerebjo01,Jonas Jerebko,Detroit Pistons,2009-10,2010,457588,6.2,0.8,4.0,25.8,13.2,13.033724494927652,13.413302253653042,668841.4086296469,211253.40862964687
blackta01,Tarik Black,Los Angeles Lakers,2014-15,2015,507336,4.9,0.5,4.7,7.7,14.4,13.136928784963631,13.48482185833433,718428.7813789647,211092.78137896466
howarjo01,Josh Howard,Utah Jazz,2011-12,2012,2150000,14.3,1.6,5.7,38.0,16.7,14.580978400103845,14.674482615833504,2360732.7493738844,210732.7493738844
pendeje02,Jeff Ayres,Los Angeles Clippers,2015-16,2016,317232,2.9,0.4,2.7,6.3,12.4,12.667388646378344,13.176771766527013,527957.8693077445,210725.86930774455
terryja01,Jason Terry,Milwaukee Bucks,2016-17,2017,1551659,13.4,3.8,2.3,102.0,16.2,14.25483523908925,14.382081533130961,1762214.0037589201,210555.00375892012
anderky01,Kyle Anderson,San Antonio Spurs,2015-16,2016,1142879,5.3,1.9,3.9,15.4,13.5,13.949061075405917,14.118063211053423,1353308.930441044,210429.93044104404
willilo02,Lou Williams,Toronto Raptors,2014-15,2015,5450000,14.2,3.3,2.2,59.4,18.5,15.511126166639427,15.54894966985365,5660086.144011991,210086.1440119911
amundlo01,Lou Amundson,Minnesota Timberwolves,2012-13,2013,1069509,3.7,0.4,3.6,6.9,12.0,13.882710222616454,14.061953426652247,1279466.083553435,209957.08355343505
marshke01,Kendall Marshall,Phoenix Suns,2014-15,2015,915243,5.0,4.9,1.6,1.0,10.7,13.72694488276968,13.933399588640468,1125119.2507171656,209876.25071716565
feltora01,Raymond Felton,New York Knicks,2013-14,2014,3637073,11.2,5.2,3.0,40.2,13.8,15.106689795255186,15.162706424253468,3846623.9453521078,209550.94535210775
croshau01,Austin Croshere,San Antonio Spurs,2008-09,2009,74251,6.8,1.0,4.0,27.6,14.3,11.215206524587721,12.554069856496085,283245.6599651019,208994.65996510192
morroan01,Anthony Morrow,Golden State Warriors,2008-09,2009,442114,9.4,0.9,2.2,23.2,13.2,12.999323046356599,13.38573590802789,650655.703507724,208541.70350772399
